Nome: CRUZ DAS ALMAS
Codigo Estacao: 83222
Latitude: -12.67527777
Longitude: -39.08972221
Altitude: 219.69
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2010-01-31;26,9;null;null;null;null;
2010-02-28;34,8;null;null;null;null;
2010-03-31;111,9;null;null;null;null;
2010-04-30;246,7;null;null;null;null;
2010-05-31;57,7;null;null;null;null;
2010-06-30;94,7;null;null;null;null;
2010-07-31;264,5;null;null;null;null;
2010-08-31;81,2;null;null;null;null;
2010-09-30;72;null;null;null;null;
2010-10-31;34,7;null;null;null;null;
2010-11-30;4,9;null;null;null;null;
2010-12-31;107,1;null;null;null;null;
2011-01-31;74,7;null;null;null;null;
2011-02-28;52,3;null;null;null;null;
2011-03-31;82,5;null;null;null;null;
2011-04-30;297,7;null;null;null;null;
2011-05-31;135;null;null;null;null;
2011-06-30;159;null;null;null;null;
2011-07-31;64,3;null;null;null;null;
2011-08-31;92,7;null;null;null;null;
2011-09-30;90;null;null;null;null;
2011-10-31;121,8;null;null;null;null;
2011-11-30;70,3;null;null;null;null;
2011-12-31;41,8;null;null;null;null;
2012-01-31;33,4;null;null;null;null;
2012-02-29;53,4;null;null;null;null;
2012-03-31;15,9;null;null;null;null;
2012-04-30;53,6;null;null;null;null;
2012-05-31;73,8;null;null;null;null;
2012-06-30;115,1;null;null;null;null;
2012-07-31;99,3;null;null;null;null;
2012-08-31;135,3;null;null;null;null;
2012-09-30;48,4;null;null;null;null;
2012-10-31;32,5;null;null;null;null;
2012-11-30;55,9;null;null;null;null;
2012-12-31;11;null;null;null;null;
2013-01-31;86,5;null;null;null;null;
2013-02-28;76,3;null;null;null;null;
2013-03-31;19;null;null;23,1;null;
2013-04-30;142;null;null;null;null;
2013-05-31;130,5;null;null;null;null;
2013-06-30;181,3;null;null;null;null;
2013-07-31;137,3;null;null;null;null;
2013-08-31;121,5;null;null;null;null;
2013-09-30;71,2;null;null;19,3;null;
2013-10-31;90,4;null;null;null;null;
2013-11-30;89,6;null;null;null;null;
2013-12-31;72,7;null;null;22,6;null;
2014-01-31;32,3;null;null;21,7;null;
2014-02-28;131;null;null;22;null;
2014-03-31;82,2;null;null;22,3;null;
2014-04-30;76,2;null;null;22,4;null;
2014-05-31;174,1;null;null;21,4;null;
2014-06-30;83,3;null;null;19,8;null;
2014-07-31;219,6;null;null;19,1;null;
2014-08-31;78,2;null;null;17,3;null;
2014-09-30;88,6;null;null;18,2;null;
2014-10-31;28,2;null;null;18,7;null;
2014-11-30;33,1;null;null;20,2;null;
2014-12-31;58,1;null;null;21,9;null;
2015-01-31;47,1;null;null;21,8;null;
2015-02-28;88,5;null;null;22,6;null;
2015-03-31;29,1;null;null;22,6;null;
2015-04-30;115,2;null;null;22,6;null;
2015-05-31;266,6;null;null;21,2;null;
2015-06-30;222,2;null;null;20,4;null;
2015-07-31;152,8;null;null;19,6;null;
2015-08-31;107,5;null;null;18,8;null;
2015-09-30;27,3;null;null;19,7;null;
2015-10-31;14,8;null;null;20,7;null;
2015-11-30;3;null;null;22,5;null;
2015-12-31;9,6;null;null;22,6;null;
2016-01-31;179,2;null;null;23,5;null;
2016-02-29;50,1;null;null;22,6;null;
2016-03-31;45,4;null;null;22,8;null;
2016-04-30;67,9;null;null;22,1;null;
2016-05-31;157,2;null;null;21,1;null;
